"","author","first_author_surname","institution","inst_adress","country","title","year","journal","volume","number","first_page","last_page","abstract_pt","abstract_en","abstract_es","keywords_pt","keywords_en","keywords_es","doi","article_id","n_authors","n_pages","n_refs"
"54","Matías Lira; Pedro Zamorano; Waldo Cerpa","Lira",",Pontificia Universidad Católica de Chile Facultad de Ciencias Biológicas Departamento de Biología Celular y Molecular; ,Universidad de Magallanes Centro de Excelencia en Biomedicina de Magallanes (CEBIMA) ; ,Universidad de Antofagasta Departamento Biomédico ; ,Universidad de Antofagasta Instituto Antofagasta ","Santiago ; Punta Arenas ; Antofagasta ; Antofagasta ","Chile; Chile; Chile; Chile","Exo70 intracellular redistribution after repeated mild traumatic brain injury","2021","Biological Research","54","",NA,NA,"","Abstract  Background: Exo70 is a subunit of the greater exocyst complex, a collection of proteins that oversees cellular membrane addition and polarized exocytosis by acting as a tethering intermediate between the plasma membrane and newly synthesized secretory vesicles. Although Exo70 function has been implicated in several developmental events including cytokinesis and the establishment of cell polarity, its role in neuropathologies is poorly understood. On the other hand, traumatic brain injury is the result of mechanical external force including contusion, fast acceleration, and expansive waves that produce temporal or permanent cognitive damage and triggers physical and psychosocial alterations including headache, memory problems, attention deficits, difficulty thinking, mood swings, and frustration. Traumatic brain injury is a critical health problem on a global scale, constituting a major cause of deaths and disability among young adults. Trauma-related cellular damage includes redistribution of N-methyl-D-aspartate receptors outside of the synaptic compartment triggering detrimental effects to neurons. The exocyst has been related to glutamate receptor constitutive trafficking/delivery towards synapse as well. This work examines whether the exocyst complex subunit Exo70 participates in traumatic brain injury and if it is redistributed among subcellular compartments  Results: Our analysis shows that Exo70 expression is not altered upon injury induction. By using subcellular fractionation, we determined that Exo70 is redistributed from microsomes fraction into the synaptic compartment after brain trauma. In the synaptic compartment, we also show that the exocyst complex assembly and its interaction with GluN2B are increased. Finally, we show that the Exo70 pool that is redistributed comes from the plasma membrane.  Conclusions: The present findings position Exo70 in the group of proteins that could modulate GluN2B synaptic availability in acute neuropathology like a traumatic brain injury. By acting as a nucleator factor, Exo70 is capable of redirecting the ensembled complex into the synapse. We suggest that this redistribution is part of a compensatory mechanism by which Exo70 is able to maintain GluN2B partially on synapses. Hence, reducing the detrimental effects associated with TBI pathophysiology.","","","Hippocampus; Exocyst; Exo70; Compartmentalization; Redistribution; Traumatic brain injury","","10.1186/s40659-021-00329-3","S0716-97602021000100205",3,NA,77
"55","Danfeng Tang; Fan Wei; Aziz Khan; Fazal Munsif; Ruiyang Zhou","Tang",",Guangxi Botanical Garden of Medicinal Plant Guangxi Key Laboratory of Medicinal Resources Protection and Genetic Improvement ; ,Guangxi Botanical Garden of Medicinal Plants Guangxi Engineering Research Center of TCM Resource Intelligent Creation ; ,Guangxi University College of Agriculture ","Nanning ; Nanning ; Nanning ","China; China; China","Degradation of mitochondrial structure and deficiency of complex I were associated with the transgenic CMS of rice","2021","Biological Research","54","",NA,NA,"","Abstract  Background: Mitochondria play a significant role in plant cytoplasmic male sterility (CMS). In our previous study, mitochondrial complex I genes, nad4, nad5, and nad7 showed polymorphisms between the transgenic CMS line M2BS and its wild type M2B. The sterility mechanism of the M2BS at cytological, physiological, biochemical, and molecular level is not clear.  Results: Cytological observation showed that the anthers were light yellow, fissured, invalid in KI-I2, and full of irregularly typical abortion pollen grains in M2BS. Transmission electron microscopic (TEM) observation revealed no nucleus and degraded mitochondria with obscure cristae in anther cells of M2BS. The results of staining for H2O2 presented a large number of electron dense precipitates (edp) in intercellular space of anther cells of M2BS at anthesis. Moreover, the anther respiration rate and complex I activity of M2BS were significantly lower than those of wild type M2B during pollen development. Furthermore, RNA editing results showed only nad7 presented partially edited at 534th nucleotides. The expression of nad5 and nad7 revealed significant differences between M2B and M2BS.  Conclusions: Our data demonstrated that mitochondrial structural degradation and complex I deficiency might be associated with transgenic CMS of rice.","","","Rice; Transgenic CMS line; TEM; Mitochondrial biochemistry","","10.1186/s40659-020-00326-y","S0716-97602021000100206",5,NA,47
"56","Xiang-Bo Jia; Quan Zhang; Lei Xu; Wen-Jian Yao; Li Wei","Jia",",People's Hospital of Zhengzhou University Henan Provincial People's Hospital Department of Thoracic Surgery","Zhengzhou ","China","Lotus leaf flavonoids induce apoptosis of human lung cancer A549 cells through the ROS/p38 MAPK pathway","2021","Biological Research","54","",NA,NA,"","Abstract  Background: Leaves of the natural plant lotus are used in traditional Chinese medicine and tea production. They are rich in flavonoids.  Methods: In this study, lotus leaf flavonoids (LLF) were applied to human lung cancer A549 cells and human small cell lung cancer cells H446 in vitro to verify the effect of LLF on apoptosis in these cells through the ROS/p38 MAPK pathway.  Results: LLF had no toxic effect on normal cells at concentrations up to 500 &#956;g/mL, but could significantly inhibit the proliferation of A549 cells and H446 cells. Flow cytometry showed that LLF could induce growth in A549 cells. We also found that LLF could increase ROS and MDA levels, and decrease SOD activity in A549 cells. Furthermore, qRT-PCR and western blot analyses showed that LLF could upregulate the expression of p38 MAPK (p-p38 MAPK), caspase-3, caspase-9, cleaved caspase-3, cleaved caspase-9 and Bax and downregulate the expression of Cu/Zn SOD, CAT, Nrf2, NQO1, HO-1, and Bcl-2 in A549 cells. Results of HPLC showed that LLF mainly contain five active substances: kaemp-feritrin, hyperoside, astragalin, phloridzin, and quercetin. The apoptosis-inducing effect of LLF on A549 cells came from these naturally active compounds.  Conclusions: We have shown in this study that LLF is a bioactive substance that can induce apoptosis in A549 cells in vitro, and merits further research and development.","","","Human lung cancer A549 cells; Flavonoid; Lotus leaf; C57BL/6J mice; mRNA ROS/p38 MAPK pathway","","10.1186/s40659-021-00330-w","S0716-97602021000100207",5,NA,49
"57","Ying Jia; Lian Yi; Qianqian Li; Tingjiao Liu; Shanshan Yang","Jia",",The First Affiliated Hospital of Harbin Medical University Department of Neurology ","Harbin ","China","LncRNA MALAT1 aggravates oxygen&#8208;glucose deprivation/reoxygenation-induced neuronal endoplasmic reticulum stress and apoptosis via the miR-195a-5p/HMGA1 axis","2021","Biological Research","54","",NA,NA,"","Abstract  Background: This study aimed to investigate the potential role and molecular mechanism of lncRNA metastasis associated lung adenocarcinoma transcript 1 (MALAT1) in cerebral ischemia/reperfusion injury.  Results: Using an oxygen-glucose deprivation/reoxygenation (OGD/R) cell model, we determined that the expression of MALAT1 was significantly increased during OGD/R. MALAT1 knockdown reversed OGD/R-induced apoptosis and ER stress. Mechanistically, MALAT1 promoted OGD/R-induced neuronal injury through sponging miR-195a-5p to upregulating high mobility group AT-hook1 (HMGA1).  Conclusions: Collectively, these data demonstrate the mechanism underlying the invovlvement of MALAT1 in cerebral ischemia/reperfusion injury, thus providing translational evidence that MALAT1 may serve as a novel biomarker and therapeutic target for ischemic stroke.","","","Ischemic stroke; MALAT1; Oxygen&#8208;glucose deprivation/reoxygenation; Neuronal injury; Endoplasmic reticulum stress","","10.1186/s40659-021-00331-9","S0716-97602021000100208",5,NA,39
"58","Meeti Punetha; Sai Kumar; Avishek Paul; Bosco Jose; Jaya Bharati; Arvind Sonwane; Jonathan A. Green; Kristin Whitworth; Mihir Sarkar","Punetha",",ICAR-Indian Veterinary Research Institute Physiology &amp; Climatology Division ; ,ICAR- National Research Centre on Pig Animal Physiology ; ,ICAR-Indian Veterinary Research Institute Division of Animal Genetics ; ,University of Missouri-Columbia Division of Animal Science ","Bareilly Uttar Pradesh; Guwahati Assam; Bareilly Uttar Pradesh; Columbia MO","India; India; India; USA","Deciphering the functional role of EGR1 in Prostaglandin F2 alpha induced luteal regression applying CRISPR in corpus luteum of buffalo","2021","Biological Research","54","",NA,NA,"","Abstract  Background: PGF2&#945; is essential for the induction of the corpus luteum regression which in turn reduces progesterone production. Early growth response (EGR) proteins are Cys2-His2-type zinc-finger transcription factor that are strongly linked to cellular proliferation, survival and apoptosis. Rapid elevation of EGR1 was observed after luteolytic dose of PGF2&#945;. EGR1 is involved in the transactivation of many genes, including TGF&#946;1, which plays an important role during luteal regression.  Methods: The current study was conducted in buffalo luteal cells with the aim to better understand the role of EGR1 in transactivation of TGF&#946;1 during PGF2&#945; induced luteal regression. Luteal cells from mid stage corpus luteum of buffalo were cultured and treated with different doses of PGF2&#945; for different time durations. Relative expression of mRNAs encoding for enzymes within the progesterone biosynthetic pathway (3&#946;HSD, CYP11A1 and StAR); Caspase 3; AKT were analyzed to confirm the occurrence of luteolytic event. To determine if EGR1 is involved in the PGF2&#945; induced luteal regression via induction of TGF&#946;1 expression, we knocked out the EGR1 gene by using CRISPR/Cas9.  Result: The present experiment determined whether EGR1 protein expression in luteal cells was responsive to PGF2&#945; treatment. Quantification of EGR1 and TGF&#946;1 mRNA showed significant up regulation in luteal cells of buffalo at 12 h post PGF2&#945; induction. In order to validate the role of PGF2&#945; on stimulating the expression of TGF&#946;1 by an EGR1 dependent mechanism we knocked out EGR1. The EGR1 ablated luteal cells were stimulated with PGF2&#945; and it was observed that EGR1 KO did not modulate the PGF2&#945; induced expression of TGF&#946;1. In PGF2&#945; treated EGR1 KO luteal cell, the mRNA expression of Caspase 3 was significantly increased compared to PGF2&#945; treated wild type luteal cells maintained for 12 h. We also studied the influence of EGR1 on steroidogenesis. The EGR1 KO luteal cells with PGF2&#945; treatment showed no substantial difference either in the progesterone concentration or in StAR mRNA expression with PGF2&#945;-treated wild type luteal cells.  Conclusion: These results suggest that EGR1 signaling is not the only factor which plays a role in the regulation of PGF2&#945; induced TGF&#946;1 signaling for luteolysis.","","","Buffalo; Corpus luteum; EGR; CRISPR/Cas9; Luteolysis","","10.1186/s40659-021-00333-7","S0716-97602021000100209",9,NA,52
"59","Ana Morales-Ubaldo; Jerelly Hernández-Alvarado; Benjamín Valladares-Carranza; Valente Velázquez-Ordoñez; Lucía Delgadillo-Ruiz; Carla Rosenfeld-Miranda; Nallely Rivero-Pérez; Adrián Zaragoza-Bastida","Morales-Ubaldo",",Universidad Autónoma del Estado de Hidalgo Instituto de Ciencias Agropecuarias ; ,Universidad del Papaloapan  ; ,Universidad Autónoma del Estado de México Facultad de Medicina Veterinaria y Zootecnia ; ,Universidad Autónoma de Zacatecas  ; ,Universidad Austral de Chile Facultad de Ciencias Veterinarias "," ;  ; Toluca Estado de México;  Zacatecas;  Valdivia","Mexico; Mexico; Mexico; Mexico; Chile","Actividad antibacteriana del extracto hidroalcohólico Croton draco sobre bacterias de importancia sanitaria","2020","Abanico veterinario","10","",NA,NA,"","ABSTRACT The World Organization for Animal Health (OIE) mentions that the inappropriate use of antibiotics has led to the emergence of strains of resistant bacteria to the mechanisms of action of these drugs, due to the scarcity of effective therapies, the development of new treatment options is required for diseases that affect health, in this respect plant extracts or their pure compounds offer an alternative. The aim of the present investigation was to characterize and evaluate the in vitro antibacterial activity of the hydroalcoholic extract of Croton draco on bacteria of sanitary importance. The extract was obtained by hydroalcoholic maceration, a qualitative and chemical characterization of the extract was carried out, and the antibacterial activity was determined by the Minimum Inhibitory Concentration (MIC) and the Minimum Bactericidal Concentration (MBC). The qualitative characterization tests performed on the hydroalcoholic extract of Croton draco indicate the presence of phenolic compounds, terpenes, saponins and alkaloids, by gas chromatography the presence of thymol and carvacrol was determined in concentrations of 0.5340 mg/ml and 0.4206 mg/mL respectively. The bacteria showed different degrees of sensitivity to the hydroalcoholic extract, however, greater activity was determined against Gram positive bacteria such as Listeria monocytogenes, Staphylococcus aureus and Bacillus subtilis.","RESUMEN La Organización Mundial de Sanidad Animal (OIE) menciona que el uso inadecuado de antibióticos ha propiciado la aparición de cepas bacterias resistentes a los mecanismos de acción de estos fármacos, debido a la escasez de terapias efectivas se requiere del desarrollo de nuevas opciones de tratamiento para enfermedades que afectan la salud, al respecto los extractos de plantas o bien sus compuestos puros ofrecen una alternativa. El objetivo de la presente investigación fue caracterizar y evaluar la actividad antibacteriana in vitro del extracto hidroalcohólico de Croton draco sobre bacterias de importancia sanitaria. El extracto se obtuvo mediante maceración hidroalcohólica, se realizó una caracterización cualitativa y química del extracto, la actividad antibacteriana se determinó mediante la Concentración Mínima Inhibitoria (CMI) y la Concentración Mínima Bactericida (CMB). Los ensayos de caracterización cualitativa realizados al extracto hidroalcohólico de Croton draco indican la presencia de compuestos fenólicos, terpenos, saponinas y alcaloides, por cromatografía de gases se determinó por primera vez la presencia de timol y carvacrol en concentraciones de 0.5340 mg/ml y 0.4206 mg/mL respectivamente. Las bacterias mostraron diferentes grados de sensibilidad, sin embargo, se determinó una mayor actividad frente a bacterias Gram positivas como L. monocytogenes, S. aureus y B. subtillis.","","Croton draco; Hydroalcoholic extract; Antibacterial; Minimum Inhibitory Concentration; Minimum Bactericidal Concentration","Croton draco; Extracto hidroalcohólico; Antibacteriano; Concentración Mínima Inhibitoria; Concentración Mínima Bactericida","10.21929/abavet2020.2","S2448-61322020000100101",8,NA,26
"60","Itzel Rodríguez-Gutiérrez; Álvaro Domínguez-Rebolledo; Henry Loeza-Concha; Carlos Castellanos-Zacarías; Maximiliano Tun-Moo; Julio Ramón-Ugalde","Rodríguez-Gutiérrez",",Instituto Nacional de Investigaciones Forestales, Agrícolas y Pecuarias  ; ,Instituto Tecnológico de Conkal  ; ,Colegio de Postgraduados  ","Mocochá Yucatán; Conkal Yucatán; Champotón Campeche","Mexico; Mexico; Mexico","Efecto de los antioxidantes Trolox y Crocina sobre la criopreservación del semen de ovino Pelibuey","2020","Abanico veterinario","10","",NA,NA,"","ABSTRACT The objective of the study was to evaluate the effect of the antioxidants Trolox and Crocina in the freezing diluent on the cryopreservation of Pelibuey ovine semen. The ejaculates obtained were mixed, divided and frozen in 3 treatments: T1: 1mM Trolox; T2: 1mM Crocina; TT: Control (without antioxidant). At 0 hours (defrosting) and 6 hours at 37 °C, total (MT) and progressive (MP) motility, sperm viability, mitochondrial activity, integrity of acrosomes and tail membrane were analyzed (Host) The data was analyzed with an ANOVA for a completely randomized design and a Tukey test for the comparison of means. In neither of the two hours were significant differences found in the treatments (P&gt; 0.05). However, from 0 to 6h, MT behaved similarly in T1 and T2, but not in TT (P &lt;0.01), on the contrary, the integrity of acrosomes in all three treatments was similar (P&gt; 0.05). MP, viability, mitochondrial activity and Host decreased over time in a similar way in all three treatments. The antioxidants Trolox and Crocina at 1mM in the freezing diluent, allow to maintain the MT and the integrity of the acrosomes for 6 h of incubation at 37 °C.","RESUMEN El objetivo del estudio fue evaluar el efecto de los antioxidantes Trolox y Crocina en el diluyente de congelación sobre la criopreservación del semen de ovino Pelibuey. Los eyaculados obtenidos se mezclaron, dividieron y congelaron en 3 tratamientos: T1: Trolox 1mM; T2: Crocina 1mM; TT: Testigo (sin antioxidante). Se analizó a las 0 horas (descongelación) y 6 horas a 37 °C, la motilidad total (MT) y progresiva (MP), la viabilidad espermática, la actividad mitocondrial, la integridad de los acrosomas y de la membrana de la cola (Host). Los datos se analizaron con un ANOVA para un diseño completamente al azar y una prueba de Tukey para la comparación de medias. En ninguna de las dos horas se encontraron diferencias significativas en los tratamientos (P&gt;0.05). Sin embargo, de 0 a 6h, la MT se comportó de forma similar en el T1 y T2, pero no así en el TT (P&lt;0.01), por el contrario, la integridad de los acrosomas en los tres tratamientos fue similar (P&gt;0.05). La MP, viabilidad, actividad mitocondrial y Host disminuyeron con el tiempo de forma similar en los tres tratamientos. Los antioxidantes Trolox y Crocina a 1mM en el diluyente de congelación, permiten mantener la MT y la integridad de los acrosomas durante 6 h de incubación a 37 °C.","","Free radicals; diluent; sperm and freezing","Radicales libres; diluyente; esperma y congelación","10.21929/abavet2020.4","S2448-61322020000100102",6,NA,22
"61","Eddy González-Alamilla; Marco Rivas-Jacobo; Carolina Sosa-Gutiérrez; Lucía Delgadillo-Ruiz; Benjamín Valladares-Carranza; Carla Rosenfeld-Miranda; Adrián Zaragoza-Bastida; Nallely Rivero-Pérez","González-Alamilla",",Universidad Autónoma de San Luis Potosí Facultad de Agronomía y Veterinaria ; ,Universidad Autónoma del Estado de Hidalgo Instituto de Ciencias Agropecuarias ; ,Universidad Autónoma de Zacatecas  ; ,Universidad Autónoma del Estado de México Facultad de Medicina Veterinaria y Zootecnia ; ,Universidad Austral de Chile Facultad de Ciencias Veterinarias "," ;  ;  Zacatecas;  ;  Valdivia","Mexico; Mexico; Mexico; Mexico; Chile","Efecto antibacteriano del extracto metanólico de Salix babylonica sobre bacterias de importancia en salud pública","2020","Abanico veterinario","10","",NA,NA,"","ABSTRACT The excessive use of antibiotics, has generated resistance of microorganisms to these, have been searched effectives alternatives for treating diseases caused by resistant or multiresistant microorganism, and within of these alternatives are plants, which by its content of secondary compounds have antibacterial activity. The aim on the present experiment was characterize and determine the antibacterial activity of methanolic extract of Salix babylonica (SB) against important bacteria in public health. To obtain extract, the maceration technique was used, qualitative and quantitative (gas chromatography) chemical characterization was carried. For antibacterial activity, the Minimum Inhibitory Concentration (MIC) and Minimum Bactericidal Concentration (MBC) was determined, the characterization of the extract allowed the identification of phenolic compounds, coumarins, lactones, flavonols, quinones, saponins, triterpenes and steroidal compounds, also Thymol (0.5319 mg/mL) and Carvacrol (0.4158 mg/mL). The extract showed the best activity against Bacillus. subtilis (MIC: 12.5 mg/mL and WBC: 25 mg/mL), Listeria. monocytogenes and Staphylococcus. aureus (MIC: 25 mg/mL and MBC: 50 mg/mL). It is concluded that the methanolic extract of SB can be an alternative for the treatment of diseases produced by resistant or multiresistant bacteria to antibiotics.","RESUMEN El uso excesivo de antimicrobianos ha generado resistencia de los microorganismos a estos, se han buscado alternativas que sean eficaces para el tratamiento de enfermedades producidas por microorganismos resistentes o multirresistentes a antibióticos, dentro de estas alternativas están las plantas, las cuales por su contenido de compuesto secundarios presentan actividad antibacteriana. El objetivo del presente estudio fue caracterizar y determinar la actividad antibacteriana del extracto metanólico de Salix babylonica (SB) sobre bacterias de importancia en salud pública. Para la obtención del extracto se utilizó la técnica de maceración, se realizó una caracterización química cualitativa y cuantitativa por cromatografía de gases. Para determinar la actividad antibacteriana, se determinó la Concentración Mínima Inhibitoria (CMI) y la Concentración Mínima Bactericida (CMB) y la caracterización del extracto permitió identificar compuestos fenólicos, cumarinas, lactonas, flavonoles, quinonas, saponinas, triterpenos y compuestos esteroidales, además de Timol (0.5319 mg/mL) y Carvacrol (0.4158 mg/ml). Con respecto a la actividad antibacteriana la mejor actividad se presentó contra Bacillus. subtillis (CMI: 12.5 mg/mL y CMB: 25 mg/mL), Listeria. monocytogenes y Staphylococcus. aureus (CMI: 25 mg/mL y CMB: 50 mg/mL). Se concluye que el extracto metanólico de SB puede ser una alternativa para el tratamiento de enfermedades producidas por bacterias resistentes o multirresistentes a antibióticos.","","Salix babylonica; characterization; antibacterial effect","Salix babylonica; caracterización; efecto antibacteriano","10.21929/abavet2020.1","S2448-61322020000100103",8,NA,21
"62","Aitor Fernández-Novo; Juan Lomillos-Pérez; Juan García-García","Fernández-Novo",",Universidad Cardenal Herrera  ; ,La Tejera Sociedad Limitada Profesional  "," Valencia; Madrid ","Spain; España","Prevalencia de Fasciola hepatica en ganado bovino de Lidia","2020","Abanico veterinario","10","",NA,NA,"","ABSTRACT Fasciolosis remains a frequent parasitosis within the bovine in extensive, despite the great implantation and efficacy of fasciolicides drugs. In the present work, the prevalence of Fasciola hepatica has been studied for five years, analyzing 251 cattle in the fight, evaluating the presence of hepatic macroscopic lesions. In turn, its relationship with the average temperature and rainfall of the year, and describe its pathophysiological consequences during the bullfighting celebration. Methodology: it was carried out in Madrid (July-September 2013-2017). Results: n = 251 animals in the five years, 50.20 ± 2.68 evaluated per year, of which 14 had lesions, on average 2.80 ± 1.64 per year. Likewise, a total of 4 animals compatible with lesions in the five years, on average 0.80 ± 0.84 animals per year, were reviewed. The average annual temperature was 15.78 ± 0.48 °C and the average annual rainfall was 570.20 ± 102.21mm. Statistical correlation is observed between the channels with lesions and the average annual rainfall (P &lt;0.01) and with the average annual temperature (P &lt;0.05). Average prevalences (5.61 ± 2.82) are lower than those described by different authors, together with weather conditions compatible with the growth of the parasite and all its intermediate hosts. The study reveals that a good use of antiparasitic agents is not entirely effective in this type of farms.","RESUMEN La fasciolosis sigue siendo una parasitosis frecuente dentro del bovino en extensivo, a pesar de la gran implantación y eficacia de fármacos fasciolicidas. En el presente trabajo se ha estudiado durante cinco años la prevalencia de Fasciola hepatica analizando 251 bovinos de lidia, evaluando la presencia de lesiones macroscópicas hepáticas. A su vez, su relación con la temperatura y pluviometría media del año, y describir sus consecuencias fisiopatológicas durante el festejo taurino. Metodología: se llevó a cabo en Madrid (julio-septiembre 2013-2017). Resultados: n=251 animales en los cinco años, 50.20±2.68 evaluados al año, de los cuales, 14 presentaron lesiones, de media 2.80±1.64 al año. Asimismo, se reseñaron en el reconocimiento un total de 4 animales compatibles con lesiones en los cinco años, de media 0.80±0.84 animales al año. La temperatura media anual fue de 15.78±0.48°C y la pluviometría media anual de 570.20±102.21mm. Se observa correlación estadística entre las canales con lesiones y la pluviometría media anual (P&lt;0.01) y con la temperatura media anual (P&lt;0.05). Se obtienen prevalencias medias (5.61±2.82) inferiores a las descritas por diferentes autores, junto con condiciones climatológicas compatibles con el crecimiento del parásito y de todos sus hospedadores intermediarios. El estudio revela que un buen uso de los antiparasitarios no es del todo efectivo en este tipo de explotaciones.","","fasciolosis; temperature; pluviometry; parasite; fighting bulls and bovine","fasciolosis; temperatura; pluvimetría; parásito; toro; lidia y bovino","10.21929/abavet2020.3","S2448-61322020000100104",3,NA,32
"63","Octavio Villanueva-Sánchez; Silvia Carrillo-Domínguez; Roberto Chavira-Ramírez; Mónica Martínez-Marcial; Genaro Miranda-de-la-Lama; Ernesto Ávila- González","Villanueva-Sánchez",",Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán  ; ,Universidad Nacional Autónoma de México Instituto de Biomédicas ; ,Universidad Metropolitana de México  ; ,Universidad Nacional Autónoma de México Facultad de Medicina Veterinaria y Zootecnia "," ;  ;  ;  ","México; Mexico; Mexico","Evaluación del bienestar animal de gallinas ponedoras Bovans White alojadas en piso","2020","Abanico veterinario","10","",NA,NA,"","ABSTRACT Laying hen welfare has been studied increasingly, some works concluded that the cage housing system provides poor welfare for laying hens. These have a great interest in Mexico because it is the world's leading egg consumer (22.8 kg per capita by year) and the fourth leading producer. The aim of this work was to evaluate laying hen welfare. Fifty 22-weeks-old Bovans White laying hens were housed in the floor, assigning 1200 cm2 per hen. Behavior, health, production parameters, and egg physical quality were evaluated at 22, 30 and 62 weeks. There was a difference (P&lt;0.05) throughout the study in frequency and time of the following behaviors: dust bath, lie down, exploring and foraging. On the other hand, egg physical quality was according to the national regulations. At the end of the study, hens had good physical health and a wide behavior repertory.","RESUMEN El interés por el bienestar de las gallinas ponedoras ha ido en aumento y algunos estudios consideran que el sistema de alojamiento en jaulas proporciona un bienestar deficiente en las gallinas. Este tipo de estudios son de gran interés en México debido a que es el principal consumidor mundial de huevos (22.8 Kg per cápita anual) y cuarto productor a nivel internacional. Por lo tanto, el objetivo de la investigación fue realizar un estudio sobre el bienestar de gallinas ponedoras en piso. Para este propósito, 50 gallinas Bovans White fueron alojadas en piso, con espacio de 1,200 cm2 por ave. Fueron evaluadas a las 22, 30 y 62 semanas de edad su comportamiento, estado de salud, las variables de producción y la calidad física del huevo. Durante el estudio se observaron de manera general diferencias (P&lt;0.05) en tiempo y frecuencia de las siguientes conductas: baño de tierra, echarse, explorar y forrajear. Por otra parte, la calidad física del huevo cumplió las normativas al respecto. Al final del estudio las gallinas mostraron un buen estado de salud y un amplio repertorio de conductas.","","welfare; behavior; health; egg; housing system","bienestar; conducta; salud; huevo y sistema de alojamiento","10.21929/abavet2020.5","S2448-61322020000100105",6,NA,30
"64","Amalia Cabrera-Núñez; Miguel Lammoglia-Villagómez; César Martínez-Sánchez; Rebeca Rojas-Ronquillo; Flor Montero-Solís","Cabrera-Núñez",",Universidad Veracruzana Facultad de Ciencias Biológicas y Agropecuarias ","Tuxpan ","Mexico","Utilización de subproductos de naranja (Citrus sinensis var. valencia) en la alimentación para rumiantes","2020","Abanico veterinario","10","",NA,NA,"","ABSTRACT This study was aimed to elaborate a young bull fattening supplement with Valencia orange by-products (Citrus sinensis var. valencia) in the north of Veracruz state. It was performed in a Livestock Production Unit (UPP) from the Municipality of Álamo-Temapache, Veracruz. Geographically located at North latitude: 20° 55' 19"", West latitude 97° 41' 44. This place is found at 40 meters height above sea level with an average annual temperature of 19-36 ° C. 40 Zebu x Swiss bulls, with 300 kg weight approximately, were housed and assigned under a completely randomized design in four treatments, and ten repetitions (n = 10). T1 (control) fresh forage; T2: formulated concentrate based on orange bagasse + fresh forage; T3: concentrate formulated with orange peel + fresh forage; T4: concentrate formulated with orange silage + fresh forage. Food was offered twice a day ""ad libitum"" considering 3.0 % (NRC) of the live weight during the 90 days of the experiment, with two weightings at the beginning and at the end. The average daily gain (P&lt;0.05) was 2.97 kg/animal and the cold carcass yield was 55.3%, to the animals that received a by-product supplementation based on orange silo (T4) 13.3% PC it promoted higher performance in fattening cattle.","RESUMEN Este trabajo tuvo como objetivo elaborar un concentrado alimenticio con subproductos de naranja valencia Citrus sinensis var. valencia como suplemento para toretes de engorda en el norte del estado de Veracruz. Se desarrolló en una Unidad de Producción Pecuaria (UPP) del Municipio de Álamo-Temapache, Veracruz. Geográficamente localizado entre los meridianos Latitud norte: 20° 55' 19"", Latitud oeste 97° 41' 44&#8221;. La localidad se encuentra a una altura de 40 msnm y temperatura media anual de 19-36°C. Se evaluaron, 40 toretes Cebú x Suizo, con un peso aproximado de 300 Kg, que fueron estabulados y asignados bajo un diseño completamente aleatorio en cuatro tratamientos y diez repeticiones (n=10 c/u). T1 (testigo) forraje fresco; T2: concentrado formulado a base de bagazo de naranja + forraje fresco; T3: concentrado formulado con cascara de naranja + forraje fresco; T4: concentrado formulado a base de ensilado de naranja + forraje fresco. El alimento se ofreció dos veces al día a libre acceso considerando el 3.0% (NRC) del peso vivo durante los 90 días del experimento, realizándose dos pesajes al inicio y final. El promedio de ganancia diaria (P &lt; 0.05) fue 2.97 kg/animal y rendimiento en canal fría de 55.3%, para los animales que recibieron una suplementación de subproductos a base de silo naranja (T4) al 13.3% PC, promovió un mayor rendimiento en los bovinos de engorda.","","orange valence; by-products; yield; cattle; silo","naranja valencia; subproductos; rendimiento; bovinos y silo","10.21929/abavet2020.6","S2448-61322020000100106",5,NA,23
